Geneid	Chr	Start	End	Strand	Length	Mnt_Ac4_S8
PFLU_1519	NC_012660.1	1665044	1665625	-	582	344
PFLU_1520	NC_012660.1	1665779	1666225	+	447	102
PFLU_1521	NC_012660.1	1666242	1667459	+	1218	526
PFLU_1522	NC_012660.1	1667533	1667880	-	348	1183
PFLU_1523	NC_012660.1	1667952	1668416	-	465	31
PFLU_1524	NC_012660.1	1668587	1668961	-	375	565
PFLU_1525	NC_012660.1	1669048	1669974	+	927	420
PFLU_1526	NC_012660.1	1670658	1671341	-	684	132
PFLU_1527	NC_012660.1	1671375	1671695	+	321	127
PFLU_1528	NC_012660.1	1671698	1672168	-	471	671
PFLU_1529	NC_012660.1	1672242	1674281	-	2040	505
PFLU_1530	NC_012660.1	1674381	1674839	+	459	239
PFLU_1531	NC_012660.1	1674873	1675646	+	774	146
PFLU_1532	NC_012660.1	1675661	1676200	+	540	1058
PFLU_1533	NC_012660.1	1676331	1677251	-	921	624
PFLU_1534	NC_012660.1	1677428	1678165	+	738	399
PFLU_1535	NC_012660.1	1678165	1678866	+	702	237
PFLU_1536	NC_012660.1	1678866	1679771	+	906	550
PFLU_1537	NC_012660.1	1679911	1681086	-	1176	2865
PFLU_1538	NC_012660.1	1681089	1681931	-	843	456
PFLU_1539	NC_012660.1	1682034	1683107	-	1074	1070
PFLU_1540	NC_012660.1	1683234	1684205	+	972	1067
PFLU_1541	NC_012660.1	1684383	1685318	+	936	3671
PFLU_1542	NC_012660.1	1685457	1688195	-	2739	4757
PFLU_1543	NC_012660.1	1688386	1689459	+	1074	436
PFLU_1544	NC_012660.1	1689605	1689853	+	249	86
PFLU_1545	NC_012660.1	1689856	1691247	-	1392	827
PFLU_1546	NC_012660.1	1691388	1692527	+	1140	656
PFLU_1547	NC_012660.1	1692585	1692770	-	186	3558
PFLU_1548	NC_012660.1	1692998	1694785	+	1788	268
PFLU_1549	NC_012660.1	1695026	1696951	-	1926	390
PFLU_1550	NC_012660.1	1697165	1699081	+	1917	332
PFLU_1551	NC_012660.1	1699271	1699708	-	438	1717
PFLU_1552	NC_012660.1	1699814	1700248	+	435	93
PFLU_1553	NC_012660.1	1700733	1702877	+	2145	2133
PFLU_1554	NC_012660.1	1702910	1704082	+	1173	2019
PFLU_1555	NC_012660.1	1704183	1704416	+	234	163
PFLU_1556	NC_012660.1	1704534	1707152	+	2619	2335
PFLU_1557	NC_012660.1	1707354	1707872	+	519	279
PFLU_1558	NC_012660.1	1707892	1708359	-	468	1173
PFLU_1559	NC_012660.1	1708548	1709018	-	471	258
PFLU_1560	NC_012660.1	1709032	1709637	-	606	348
PFLU_1561	NC_012660.1	1709901	1710605	+	705	409
PFLU_1562	NC_012660.1	1710745	1711752	+	1008	262
PFLU_1563	NC_012660.1	1711871	1714561	-	2691	413
PFLU_1564	NC_012660.1	1714574	1715137	-	564	89
PFLU_1565	NC_012660.1	1715152	1718598	-	3447	763
PFLU_1566	NC_012660.1	1718939	1720399	+	1461	1744
PFLU_1568	NC_012660.1	1721013	1721543	-	531	208
PFLU_1569	NC_012660.1	1721804	1723195	+	1392	1303
PFLU_1570	NC_012660.1	1723244	1723963	-	720	532
PFLU_1571	NC_012660.1	1724013	1724594	-	582	223
PFLU_1572	NC_012660.1	1724689	1725936	+	1248	500
PFLU_1573	NC_012660.1	1725947	1726627	+	681	98
PFLU_1574	NC_012660.1	1726692	1727933	+	1242	677
PFLU_1575	NC_012660.1	1728046	1729389	-	1344	96
PFLU_1576	NC_012660.1	1729389	1730066	-	678	81
PFLU_1577	NC_012660.1	1730185	1730730	+	546	204
PFLU_1578	NC_012660.1	1730803	1731630	+	828	359
PFLU_1579	NC_012660.1	1731699	1731962	-	264	1718
PFLU_1580	NC_012660.1	1732076	1732681	-	606	44
PFLU_1581	NC_012660.1	1732877	1733563	+	687	3326
PFLU_1582	NC_012660.1	1733809	1734102	-	294	1907
PFLU_1583	NC_012660.1	1734379	1735557	+	1179	2295
PFLU_1584	NC_012660.1	1735560	1736039	+	480	1094
PFLU_1585	NC_012660.1	1736246	1737169	-	924	5049
PFLU_1586	NC_012660.1	1737426	1738433	-	1008	264
PFLU_1587	NC_012660.1	1738537	1739685	+	1149	67
PFLU_1588	NC_012660.1	1739765	1740658	-	894	102
PFLU_1589	NC_012660.1	1740707	1741582	-	876	111
PFLU_1590	NC_012660.1	1741734	1743488	+	1755	23
PFLU_1591	NC_012660.1	1743491	1744540	+	1050	15
PFLU_1591A	NC_012660.1	1744683	1745666	-	984	111
PFLU_1591B	NC_012660.1	1745666	1746196	-	531	27
PFLU_1592	NC_012660.1	1746415	1747092	-	678	693
PFLU_1593	NC_012660.1	1747120	1747635	-	516	36
PFLU_1594	NC_012660.1	1748495	1748782	-	288	81
PFLU_1595	NC_012660.1	1748992	1750371	-	1380	542
PFLU_1596	NC_012660.1	1750604	1750849	-	246	76
PFLU_1597	NC_012660.1	1751261	1752313	-	1053	86
PFLU_1600	NC_012660.1	1753723	1753944	-	222	27
PFLU_1601	NC_012660.1	1754395	1755048	-	654	276
PFLU_1602	NC_012660.1	1755245	1756429	-	1185	139
PFLU_1603	NC_012660.1	1756586	1759405	+	2820	124
PFLU_1604	NC_012660.1	1759405	1760601	+	1197	545
PFLU_1605	NC_012660.1	1760673	1763639	+	2967	909
PFLU_1606	NC_012660.1	1763642	1764286	+	645	96
PFLU_1607	NC_012660.1	1764293	1764784	-	492	19
PFLU_1608	NC_012660.1	1764784	1765248	-	465	77
PFLU_1609	NC_012660.1	1765262	1766164	-	903	25
PFLU_1610	NC_012660.1	1766170	1768743	-	2574	189
PFLU_1611	NC_012660.1	1768787	1769482	-	696	12
PFLU_1612	NC_012660.1	1769552	1770121	-	570	459
PFLU_1613	NC_012660.1	1770503	1772146	+	1644	1423
PFLU_1614	NC_012660.1	1772237	1772899	-	663	31
PFLU_1615	NC_012660.1	1773000	1773893	+	894	69
PFLU_1616	NC_012660.1	1774043	1774399	+	357	659
PFLU_1617	NC_012660.1	1774413	1774784	-	372	649
PFLU_1618	NC_012660.1	1774987	1775226	-	240	110
PFLU_1619	NC_012660.1	1775521	1776891	-	1371	296
PFLU_1620	NC_012660.1	1777045	1777866	-	822	97
PFLU_1621	NC_012660.1	1778177	1779367	+	1191	3765
PFLU_1622	NC_012660.1	1779440	1780696	-	1257	139
PFLU_1623	NC_012660.1	1780957	1781859	-	903	196
PFLU_1624	NC_012660.1	1781962	1783128	+	1167	102
PFLU_1625	NC_012660.1	1783256	1784167	-	912	61
PFLU_1626	NC_012660.1	1784290	1785471	+	1182	79
PFLU_1627	NC_012660.1	1785606	1786436	-	831	106
PFLU_1628	NC_012660.1	1786595	1788094	+	1500	146
PFLU_1629	NC_012660.1	1788216	1789145	-	930	238
PFLU_1630	NC_012660.1	1789241	1790002	-	762	348
PFLU_1631	NC_012660.1	1790185	1791069	+	885	58
PFLU_1632	NC_012660.1	1791076	1792020	+	945	33
PFLU_1633	NC_012660.1	1792020	1792874	+	855	36
PFLU_1634	NC_012660.1	1792874	1793827	+	954	68
PFLU_1635	NC_012660.1	1793827	1794795	+	969	43
PFLU_1636	NC_012660.1	1794831	1796342	+	1512	129
PFLU_1637	NC_012660.1	1796417	1797154	-	738	363
PFLU_1638	NC_012660.1	1797336	1798004	-	669	476
PFLU_1639	NC_012660.1	1798012	1798707	-	696	463
PFLU_1640	NC_012660.1	1798775	1800103	-	1329	1148
PFLU_1641	NC_012660.1	1800212	1801285	+	1074	569
PFLU_1643	NC_012660.1	1801713	1804364	+	2652	2280
PFLU_1644	NC_012660.1	1804610	1805692	+	1083	618
PFLU_1645	NC_012660.1	1805695	1806786	+	1092	1011
PFLU_1646	NC_012660.1	1806799	1807908	+	1110	631
PFLU_1647	NC_012660.1	1807904	1810147	+	2244	1316
PFLU_1648	NC_012660.1	1810147	1810833	+	687	6297
PFLU_1649	NC_012660.1	1810957	1812645	+	1689	25073
PFLU_1650	NC_012660.1	1812811	1813092	+	282	674
PFLU_1651	NC_012660.1	1813228	1813521	+	294	873
PFLU_1652	NC_012660.1	1813550	1813786	+	237	193
PFLU_1653	NC_012660.1	1814776	1815951	+	1176	46
PFLU_1654	NC_012660.1	1815954	1816757	+	804	171
PFLU_1655	NC_012660.1	1816763	1817983	+	1221	76
PFLU_1656	NC_012660.1	1818037	1819302	+	1266	73
PFLU_1657	NC_012660.1	1819360	1820391	+	1032	725
PFLU_1658	NC_012660.1	1820398	1821522	+	1125	719
PFLU_1659	NC_012660.1	1821538	1822665	+	1128	401
PFLU_1660	NC_012660.1	1822674	1823888	+	1215	282
PFLU_1662	NC_012660.1	1825085	1826113	+	1029	416
PFLU_1663	NC_012660.1	1826168	1827247	+	1080	645
PFLU_1664	NC_012660.1	1827247	1828005	+	759	871
PFLU_1665	NC_012660.1	1828005	1828667	+	663	375
PFLU_1666	NC_012660.1	1828674	1829687	+	1014	378
PFLU_1667	NC_012660.1	1829739	1830914	+	1176	622
PFLU_1668	NC_012660.1	1831310	1833301	+	1992	807
PFLU_1669	NC_012660.1	1833397	1833744	+	348	23
PFLU_1670	NC_012660.1	1833772	1834347	-	576	89
PFLU_1671	NC_012660.1	1834456	1835121	+	666	22
PFLU_1672	NC_012660.1	1835140	1835985	+	846	148
PFLU_1673	NC_012660.1	1836066	1836230	-	165	388
PFLU_1674	NC_012660.1	1836345	1837706	-	1362	48
PFLU_1676	NC_012660.1	1838208	1839899	+	1692	42
PFLU_1677	NC_012660.1	1839924	1841972	+	2049	69
PFLU_1678	NC_012660.1	1842108	1842656	+	549	203
PFLU_1679	NC_012660.1	1842783	1845431	+	2649	483
PFLU_1680	NC_012660.1	1845463	1846158	+	696	350
PFLU_1681	NC_012660.1	1846212	1847246	-	1035	329
PFLU_1682	NC_012660.1	1847484	1847759	+	276	1501
PFLU_1683	NC_012660.1	1847804	1848562	+	759	1424
PFLU_1684	NC_012660.1	1848656	1849450	+	795	431
PFLU_1685	NC_012660.1	1849459	1849818	-	360	184
PFLU_1686	NC_012660.1	1851223	1855938	-	4716	105
PFLU_1687	NC_012660.1	1856140	1857618	-	1479	110
PFLU_1688	NC_012660.1	1857718	1858521	-	804	139
PFLU_1689	NC_012660.1	1858757	1860175	+	1419	2059
PFLU_1690	NC_012660.1	1860282	1860713	+	432	317
PFLU_1691	NC_012660.1	1860886	1861272	+	387	263
PFLU_1692	NC_012660.1	1861283	1863010	-	1728	142
PFLU_1693	NC_012660.1	1863029	1863751	-	723	52
PFLU_1694	NC_012660.1	1863751	1864674	-	924	95
PFLU_1695	NC_012660.1	1864894	1865877	+	984	69
PFLU_1696	NC_012660.1	1865993	1866463	+	471	256
PFLU_1697	NC_012660.1	1866515	1869022	-	2508	715
PFLU_1698	NC_012660.1	1869025	1869705	-	681	108
PFLU_1699	NC_012660.1	1869716	1870318	+	603	421
PFLU_1700	NC_012660.1	1870368	1870670	+	303	42
PFLU_1701	NC_012660.1	1870747	1871709	+	963	1401
PFLU_1702	NC_012660.1	1871900	1872148	-	249	13430
PFLU_1703	NC_012660.1	1872696	1873040	+	345	2274
PFLU_1704	NC_012660.1	1873111	1874205	-	1095	772
PFLU_1705	NC_012660.1	1874319	1874750	-	432	194
PFLU_1706	NC_012660.1	1874749	1875132	+	384	176
PFLU_1707	NC_012660.1	1875132	1876091	+	960	255
PFLU_1708	NC_012660.1	1876110	1877012	+	903	250
PFLU_1709	NC_012660.1	1877086	1877583	+	498	702
PFLU_1710	NC_012660.1	1877690	1878661	+	972	905
PFLU_1711	NC_012660.1	1878719	1879198	-	480	82
PFLU_1712	NC_012660.1	1879207	1879665	-	459	126
PFLU_1713	NC_012660.1	1879705	1880835	+	1131	397
PFLU_1714	NC_012660.1	1880888	1881457	+	570	475
PFLU_1715	NC_012660.1	1881529	1882542	-	1014	91
PFLU_1716	NC_012660.1	1882574	1882990	-	417	4
PFLU_1717	NC_012660.1	1883228	1883677	-	450	233
PFLU_1718	NC_012660.1	1883760	1884707	-	948	50
PFLU_1719	NC_012660.1	1884817	1885563	+	747	80
PFLU_1720	NC_012660.1	1885559	1886410	-	852	218
PFLU_1721	NC_012660.1	1886427	1886711	+	285	30
PFLU_1722	NC_012660.1	1886760	1887986	+	1227	337
PFLU_1723	NC_012660.1	1888124	1889467	-	1344	485
PFLU_1724	NC_012660.1	1889592	1890344	+	753	319
PFLU_1725	NC_012660.1	1890454	1891242	-	789	769
PFLU_1726	NC_012660.1	1891666	1893336	+	1671	525
PFLU_1727	NC_012660.1	1893467	1894231	-	765	98
PFLU_1728	NC_012660.1	1894335	1894988	+	654	235
PFLU_1730	NC_012660.1	1896299	1897183	-	885	8421
PFLU_1731	NC_012660.1	1897491	1898699	-	1209	403
PFLU_1732	NC_012660.1	1898902	1899291	+	390	2625
PFLU_1732A	NC_012660.1	1899550	1900479	+	930	645
PFLU_1734	NC_012660.1	1900686	1901168	+	483	100
PFLU_1735	NC_012660.1	1901168	1901644	+	477	76
PFLU_1736	NC_012660.1	1901604	1903949	-	2346	389
PFLU_1737	NC_012660.1	1904075	1904962	+	888	444
PFLU_1738	NC_012660.1	1904962	1905441	+	480	160
PFLU_1739	NC_012660.1	1905473	1909117	-	3645	360
PFLU_1740	NC_012660.1	1909117	1909740	-	624	12
PFLU_1741	NC_012660.1	1909994	1910392	-	399	8
PFLU_1742	NC_012660.1	1910570	1911898	-	1329	188
PFLU_1743	NC_012660.1	1911973	1913133	-	1161	153
PFLU_1744	NC_012660.1	1913312	1913650	-	339	2182
PFLU_1745	NC_012660.1	1913650	1914030	-	381	2367
PFLU_1746	NC_012660.1	1914037	1914348	-	312	2939
PFLU_1747	NC_012660.1	1914696	1915901	+	1206	369
PFLU_1748	NC_012660.1	1915894	1917627	-	1734	175
PFLU_1749	NC_012660.1	1917778	1918011	+	234	591
PFLU_1750	NC_012660.1	1918093	1918422	+	330	240
PFLU_1751	NC_012660.1	1918497	1919384	+	888	122
PFLU_1752	NC_012660.1	1919446	1919664	-	219	478
PFLU_1753	NC_012660.1	1919747	1920346	-	600	73
PFLU_1754	NC_012660.1	1920423	1920959	+	537	274
PFLU_1755	NC_012660.1	1920946	1922169	+	1224	968
PFLU_1756	NC_012660.1	1922427	1922753	-	327	144
PFLU_1757	NC_012660.1	1922753	1924327	-	1575	246
PFLU_1758	NC_012660.1	1924528	1925160	+	633	76
PFLU_1759	NC_012660.1	1925160	1925825	+	666	140
PFLU_1760	NC_012660.1	1925915	1926667	+	753	141
PFLU_1761	NC_012660.1	1926667	1926840	+	174	11
PFLU_1762	NC_012660.1	1926840	1927292	+	453	34
PFLU_1763	NC_012660.1	1927299	1929284	+	1986	378
PFLU_1764	NC_012660.1	1929284	1929817	+	534	74
PFLU_1765	NC_012660.1	1929817	1930287	+	471	71
PFLU_1766	NC_012660.1	1930283	1931467	+	1185	56
PFLU_1767	NC_012660.1	1931486	1931878	+	393	63
PFLU_1768	NC_012660.1	1932076	1932363	-	288	62
PFLU_1769	NC_012660.1	1932910	1934427	-	1518	360
PFLU_1770	NC_012660.1	1934517	1935386	-	870	401
PFLU_1771	NC_012660.1	1935386	1937452	-	2067	256
PFLU_1772	NC_012660.1	1937452	1937790	-	339	56
PFLU_1773	NC_012660.1	1937835	1939103	-	1269	251
PFLU_1774	NC_012660.1	1939120	1939977	-	858	135
PFLU_1775	NC_012660.1	1939977	1941407	-	1431	724
PFLU_1777	NC_012660.1	1942358	1943188	+	831	22
PFLU_1778	NC_012660.1	1943224	1944222	+	999	16
PFLU_1779	NC_012660.1	1944397	1945176	+	780	3
PFLU_1780	NC_012660.1	1945216	1945917	+	702	14
PFLU_1781	NC_012660.1	1945920	1946366	+	447	1
PFLU_1782	NC_012660.1	1946369	1946956	+	588	11
PFLU_1783	NC_012660.1	1946959	1948032	+	1074	9
PFLU_1784	NC_012660.1	1948028	1948867	+	840	38
PFLU_1785	NC_012660.1	1948867	1949664	+	798	0
PFLU_1786	NC_012660.1	1949664	1950383	+	720	5
PFLU_1787	NC_012660.1	1950376	1951518	+	1143	108
PFLU_1788	NC_012660.1	1951521	1952090	+	570	461
PFLU_1789	NC_012660.1	1952084	1952830	+	747	84
PFLU_1790	NC_012660.1	1952870	1953760	-	891	145
PFLU_1791	NC_012660.1	1953967	1954137	+	171	12
PFLU_1792	NC_012660.1	1954152	1954553	+	402	51
PFLU_1793	NC_012660.1	1954946	1956475	+	1530	1159
PFLU_1794	NC_012660.1	1956491	1957684	-	1194	164
PFLU_1795	NC_012660.1	1957861	1958472	+	612	333
PFLU_1796	NC_012660.1	1958597	1959598	-	1002	148
PFLU_1797	NC_012660.1	1959707	1960528	-	822	302
PFLU_1798	NC_012660.1	1960563	1961435	-	873	39
PFLU_1799	NC_012660.1	1961473	1962885	-	1413	42
PFLU_1800	NC_012660.1	1962878	1964155	-	1278	112
PFLU_1801	NC_012660.1	1964217	1965104	-	888	29
PFLU_1802	NC_012660.1	1965253	1966032	-	780	67
PFLU_1803	NC_012660.1	1966046	1967818	-	1773	138
PFLU_1804	NC_012660.1	1968075	1968512	+	438	31
PFLU_1805	NC_012660.1	1968635	1969237	-	603	1313
PFLU_1806	NC_012660.1	1969372	1970283	+	912	115
PFLU_1807	NC_012660.1	1970458	1970886	-	429	17
PFLU_1808	NC_012660.1	1971152	1971937	-	786	347
PFLU_1809	NC_012660.1	1971933	1973228	-	1296	568
PFLU_1810	NC_012660.1	1973465	1973830	+	366	255
PFLU_1811	NC_012660.1	1973918	1975501	-	1584	863
PFLU_1812	NC_012660.1	1975801	1976649	+	849	359
PFLU_1813	NC_012660.1	1976915	1977223	+	309	1039
PFLU_1814	NC_012660.1	1977223	1978878	+	1656	4275
PFLU_1815	NC_012660.1	1979153	1980439	-	1287	1169
PFLU_1816	NC_012660.1	1980805	1981176	+	372	2076
PFLU_1817	NC_012660.1	1981173	1981538	+	366	850
PFLU_1818	NC_012660.1	1981545	1983314	+	1770	3811
PFLU_1819	NC_012660.1	1983329	1984030	+	702	2183
PFLU_1820	NC_012660.1	1984295	1987123	+	2829	4669
PFLU_1821	NC_012660.1	1987171	1988394	+	1224	1754
PFLU_1822	NC_012660.1	1988497	1989930	+	1434	3085
PFLU_1823	NC_012660.1	1990138	1991301	+	1164	2458
PFLU_1824	NC_012660.1	1991304	1992182	+	879	1232
PFLU_1825	NC_012660.1	1992598	1993908	+	1311	215
PFLU_1826	NC_012660.1	1994108	1994842	+	735	209
PFLU_1827	NC_012660.1	1994939	1995187	-	249	4595
PFLU_1828	NC_012660.1	1995346	1995819	+	474	27
PFLU_1829	NC_012660.1	1995819	1996268	+	450	46
PFLU_1830	NC_012660.1	1996355	1998262	+	1908	1974
PFLU_1831	NC_012660.1	1998329	1999057	+	729	613
PFLU_1832	NC_012660.1	1999162	2000025	-	864	422
PFLU_1833	NC_012660.1	2000093	2000506	-	414	226
PFLU_1834	NC_012660.1	2000650	2001669	+	1020	257
PFLU_1835	NC_012660.1	2001836	2003053	-	1218	2267
PFLU_1836	NC_012660.1	2003068	2003580	-	513	2099
PFLU_1837	NC_012660.1	2003833	2005731	-	1899	236
PFLU_1838	NC_012660.1	2005731	2006639	-	909	69
PFLU_1839	NC_012660.1	2006662	2008779	-	2118	410
PFLU_1840	NC_012660.1	2008975	2009997	+	1023	1325
PFLU_1841	NC_012660.1	2010011	2010355	+	345	431
PFLU_1842	NC_012660.1	2010355	2010801	+	447	742
PFLU_1843	NC_012660.1	2010890	2012536	+	1647	296
PFLU_1844	NC_012660.1	2012570	2013010	+	441	246
PFLU_1845	NC_012660.1	2013111	2013911	+	801	544
PFLU_1846	NC_012660.1	2013911	2014762	+	852	167
PFLU_1847	NC_012660.1	2014868	2015683	+	816	334
PFLU_1848	NC_012660.1	2015759	2016817	+	1059	499
PFLU_1849	NC_012660.1	2016878	2017915	-	1038	186
PFLU_1850	NC_012660.1	2017915	2018631	-	717	350
PFLU_1851	NC_012660.1	2018938	2019633	+	696	145
PFLU_1852	NC_012660.1	2019708	2020712	-	1005	267
PFLU_1853	NC_012660.1	2020942	2021700	+	759	967
PFLU_1854	NC_012660.1	2021907	2023316	+	1410	268
PFLU_1855	NC_012660.1	2023434	2025398	+	1965	1012
PFLU_1856	NC_012660.1	2025441	2026250	-	810	382
PFLU_1858	NC_012660.1	2027526	2028293	-	768	658
PFLU_1859	NC_012660.1	2029171	2030904	-	1734	174
PFLU_1860	NC_012660.1	2031121	2032857	-	1737	341
PFLU_1861	NC_012660.1	2033030	2033527	-	498	185
PFLU_1862	NC_012660.1	2033658	2034281	-	624	102
PFLU_1863	NC_012660.1	2034371	2035351	+	981	135
PFLU_1864	NC_012660.1	2035464	2035868	-	405	169
PFLU_1865	NC_012660.1	2035947	2038397	-	2451	4139
PFLU_1866	NC_012660.1	2038583	2039239	+	657	401
PFLU_1867	NC_012660.1	2039300	2039914	+	615	550
PFLU_1868	NC_012660.1	2040053	2040982	+	930	206
PFLU_1869	NC_012660.1	2040982	2041758	+	777	344
PFLU_1870	NC_012660.1	2041896	2042432	-	537	131
PFLU_1871	NC_012660.1	2042518	2043714	+	1197	104
PFLU_1872	NC_012660.1	2043763	2044071	+	309	173
PFLU_1873	NC_012660.1	2044182	2045327	+	1146	178
PFLU_1874	NC_012660.1	2045398	2047263	+	1866	688
PFLU_1875	NC_012660.1	2047380	2047691	-	312	243
PFLU_1876	NC_012660.1	2047801	2048763	-	963	238
PFLU_1877	NC_012660.1	2048906	2049823	-	918	120
PFLU_1878	NC_012660.1	2050736	2052046	+	1311	107
PFLU_1879	NC_012660.1	2052462	2054039	+	1578	705
PFLU_1880	NC_012660.1	2054039	2055070	+	1032	387
PFLU_1881	NC_012660.1	2055070	2056125	+	1056	296
PFLU_1881A	NC_012660.1	2056125	2056970	+	846	509
PFLU_1883	NC_012660.1	2056981	2059593	+	2613	438
PFLU_1884	NC_012660.1	2059818	2060147	+	330	54
PFLU_1885	NC_012660.1	2060228	2061265	-	1038	334
PFLU_1886	NC_012660.1	2061378	2061638	+	261	292
PFLU_1887	NC_012660.1	2061851	2063428	+	1578	364
PFLU_1888	NC_012660.1	2063428	2064174	+	747	80
PFLU_1890	NC_012660.1	2064644	2065021	-	378	541
PFLU_1891	NC_012660.1	2065344	2066630	-	1287	2745
PFLU_1892	NC_012660.1	2066637	2068031	-	1395	2202
PFLU_1893	NC_012660.1	2068087	2068590	-	504	683
PFLU_1894	NC_012660.1	2068590	2068907	-	318	334
PFLU_1895	NC_012660.1	2068954	2070162	-	1209	2035
PFLU_1896	NC_012660.1	2070249	2071238	-	990	2248
PFLU_1897	NC_012660.1	2071400	2072293	-	894	360
PFLU_1898	NC_012660.1	2072409	2073575	+	1167	3669
PFLU_1899	NC_012660.1	2073590	2074195	-	606	257
PFLU_1900	NC_012660.1	2074241	2075665	+	1425	385
PFLU_1901	NC_012660.1	2075672	2076676	+	1005	217
PFLU_1902	NC_012660.1	2076814	2077362	-	549	120
PFLU_1903	NC_012660.1	2077480	2078760	-	1281	117
PFLU_1903A	NC_012660.1	2078837	2079187	-	351	15
PFLU_1905	NC_012660.1	2079282	2079545	-	264	5
PFLU_1906	NC_012660.1	2079591	2079911	-	321	25
PFLU_1907	NC_012660.1	2079998	2080360	-	363	9
PFLU_1908	NC_012660.1	2080360	2081703	-	1344	89
PFLU_1909	NC_012660.1	2081955	2082275	-	321	401
PFLU_1910	NC_012660.1	2082473	2082805	+	333	17
PFLU_1911	NC_012660.1	2082870	2084414	+	1545	384
PFLU_1912	NC_012660.1	2084641	2085786	-	1146	2773
PFLU_1913	NC_012660.1	2085952	2087205	-	1254	2035
PFLU_1914	NC_012660.1	2087699	2091589	+	3891	1230
PFLU_1915	NC_012660.1	2091923	2093644	-	1722	164
PFLU_1916	NC_012660.1	2093779	2094060	+	282	151
PFLU_1917	NC_012660.1	2094204	2095253	-	1050	40
PFLU_1918	NC_012660.1	2095369	2095608	+	240	54
PFLU_1919	NC_012660.1	2096077	2096439	+	363	607
PFLU_1920	NC_012660.1	2096454	2098007	-	1554	151
PFLU_1921	NC_012660.1	2098021	2098326	-	306	10
PFLU_1922	NC_012660.1	2098333	2099712	-	1380	76
PFLU_1923	NC_012660.1	2099712	2100665	-	954	25
PFLU_1924	NC_012660.1	2100774	2101025	-	252	172
PFLU_1925	NC_012660.1	2101276	2101464	+	189	89
PFLU_1927	NC_012660.1	2102003	2104750	-	2748	252
PFLU_1928	NC_012660.1	2104753	2105166	-	414	11
PFLU_1929	NC_012660.1	2105132	2106646	-	1515	33
PFLU_1930	NC_012660.1	2106639	2107448	-	810	50
PFLU_1931	NC_012660.1	2107448	2108095	-	648	14
PFLU_1932	NC_012660.1	2108086	2108496	-	411	56
PFLU_1933	NC_012660.1	2108507	2108875	-	369	8
PFLU_1934	NC_012660.1	2108896	2109132	-	237	4
PFLU_1935	NC_012660.1	2109132	2109464	-	333	6
PFLU_1937	NC_012660.1	2110434	2110970	-	537	96
PFLU_1938	NC_012660.1	2111747	2113240	-	1494	600
PFLU_1939	NC_012660.1	2113276	2114217	-	942	483
PFLU_1940	NC_012660.1	2114298	2115299	-	1002	92
PFLU_1941	NC_012660.1	2115557	2116234	+	678	1508
PFLU_1942	NC_012660.1	2116237	2117367	-	1131	831
PFLU_1943	NC_012660.1	2117389	2118549	-	1161	44
PFLU_1944	NC_012660.1	2118567	2118926	-	360	17
PFLU_1945	NC_012660.1	2118940	2119869	-	930	43
PFLU_1947	NC_012660.1	2120292	2121203	-	912	133
PFLU_1948	NC_012660.1	2121590	2122603	+	1014	36
PFLU_1949	NC_012660.1	2122639	2123919	+	1281	81
PFLU_1950	NC_012660.1	2123919	2124683	+	765	114
PFLU_1951	NC_012660.1	2124775	2125752	+	978	115
PFLU_1952	NC_012660.1	2125761	2126699	+	939	96
PFLU_1953	NC_012660.1	2126759	2127985	+	1227	112
PFLU_1954	NC_012660.1	2128000	2128776	+	777	264
PFLU_1955	NC_012660.1	2128868	2130337	+	1470	74
PFLU_1958	NC_012660.1	2131135	2131911	+	777	414
PFLU_1960	NC_012660.1	2134146	2134871	-	726	9
PFLU_1961	NC_012660.1	2134912	2137068	-	2157	85
PFLU_1962	NC_012660.1	2137081	2137584	-	504	4
PFLU_1963	NC_012660.1	2137584	2138129	-	546	114
PFLU_1964	NC_012660.1	2138114	2138830	-	717	30
PFLU_1965	NC_012660.1	2138843	2139511	-	669	131
PFLU_1968	NC_012660.1	2140959	2141450	-	492	36
PFLU_1969	NC_012660.1	2141535	2141663	-	129	28
PFLU_1970	NC_012660.1	2141883	2142464	-	582	66
PFLU_1972	NC_012660.1	2143379	2145343	-	1965	59
PFLU_1973	NC_012660.1	2145568	2146035	-	468	3
PFLU_1974	NC_012660.1	2146035	2146550	-	516	1
PFLU_1975	NC_012660.1	2146550	2147302	-	753	15
PFLU_1976	NC_012660.1	2147513	2148700	-	1188	43
PFLU_1977	NC_012660.1	2148700	2149245	-	546	24
PFLU_1978	NC_012660.1	2149245	2150828	-	1584	112
PFLU_1979	NC_012660.1	2150846	2151070	-	225	6
PFLU_1980	NC_012660.1	2151141	2151980	-	840	81
PFLU_1981	NC_012660.1	2151988	2152215	-	228	7
PFLU_1982	NC_012660.1	2152328	2153080	-	753	74
PFLU_1983	NC_012660.1	2153349	2153999	-	651	17
PFLU_1984	NC_012660.1	2154130	2155224	-	1095	337
PFLU_1985	NC_012660.1	2155341	2156258	+	918	470
PFLU_1986	NC_012660.1	2156252	2157442	-	1191	812
PFLU_1987	NC_012660.1	2157442	2158428	-	987	882
PFLU_1987A	NC_012660.1	2158428	2158724	-	297	319
PFLU_1988	NC_012660.1	2158736	2159482	-	747	186
PFLU_1989	NC_012660.1	2159534	2160292	-	759	110
PFLU_1990	NC_012660.1	2160311	2161666	-	1356	292
PFLU_1991	NC_012660.1	2161730	2162608	-	879	162
